index,mod_lectura_critica_punt,eco_condicion_tic
714,11.0,0.0
715,8.8,0.0
716,10.7,1.0
717,11.3,1.0
718,9.3,1.0
719,9.0,1.0
720,8.3,1.0
721,9.1,0.0
722,9.9,2.0
723,9.1,0.0
724,9.7,1.0
725,10.1,2.0
726,9.6,1.0
727,9.6,0.0
728,10.3,0.0
729,10.8,1.0
730,8.6,2.0
731,9.0,0.0
732,11.2,0.0
733,12.1,0.0
734,8.4,0.0
735,10.8,0.0
736,7.7,0.0
737,11.3,2.0
738,11.0,0.0
739,10.3,0.0
740,10.3,0.0
741,7.9,2.0
742,10.8,1.0
743,11.6,0.0
744,10.1,0.0
745,11.8,0.0
746,10.3,0.0
747,11.5,0.0
748,10.7,1.0
749,10.5,0.0
750,9.1,0.0
751,11.0,0.0
752,10.3,2.0
753,9.7,0.0
754,10.6,0.0
755,8.6,1.0
756,9.1,0.0
757,7.9,1.0
758,8.5,0.0
759,10.8,2.0
760,9.9,0.0
761,10.8,1.0
762,11.0,1.0
763,10.7,1.0
764,10.5,0.0
765,10.0,1.0
766,10.5,0.0
767,9.3,1.0
768,9.6,1.0
769,9.7,1.0
770,9.4,1.0
771,9.8,1.0
772,7.4,0.0
773,9.8,0.0
774,11.3,0.0
775,11.8,0.0
776,10.3,0.0
777,9.8,1.0
778,9.6,2.0
779,9.9,1.0
780,10.1,0.0
781,9.6,0.0
782,10.5,0.0
783,10.7,1.0
784,10.3,1.0
785,10.8,1.0
786,8.9,2.0
787,11.4,1.0
788,11.6,0.0
789,9.1,0.0
790,9.8,1.0
791,10.5,0.0
792,11.3,0.0
793,11.3,0.0
794,10.3,0.0
795,9.6,0.0
796,9.3,1.0
797,10.7,0.0
798,9.9,0.0
799,9.4,1.0
800,11.1,0.0
801,10.8,0.0
802,11.1,1.0
803,11.0,1.0
804,9.1,0.0
805,10.3,2.0
806,9.4,1.0
807,9.8,1.0
808,8.3,0.0
809,9.4,1.0
810,10.5,2.0
811,10.3,1.0
812,9.8,2.0
813,9.1,1.0
814,9.3,1.0
815,9.6,2.0
816,11.3,0.0
817,9.6,0.0
818,10.3,0.0
819,9.4,1.0
820,7.7,2.0
821,10.5,0.0
822,10.1,1.0
823,8.8,1.0
824,10.8,0.0
825,12.4,0.0
826,8.1,1.0
827,9.1,0.0
828,9.6,1.0
829,9.9,0.0
830,11.4,0.0
831,12.1,0.0
832,10.8,0.0
833,9.8,1.0
834,10.2,2.0
835,10.1,1.0
836,8.8,1.0
837,10.0,0.0
838,11.2,1.0
839,9.6,0.0
840,9.1,0.0
841,10.1,1.0
842,10.5,0.0
843,11.5,1.0
844,11.1,0.0
845,11.5,0.0
846,9.7,1.0
847,10.0,1.0
848,9.1,0.0
849,10.8,1.0
850,9.6,1.0
851,9.1,0.0
852,10.0,0.0
853,10.3,0.0
854,10.5,0.0
855,10.5,1.0
856,12.4,1.0
857,9.8,0.0
858,11.1,0.0
